Government_School,Government_District,Government_Latitude,Government_Longitude,BEF_School,BEF_District,Distance_KM
GBHS DEH GHARI,Sohbat Pur,28.6053015778951,68.450453305336,Aziz-u-Rehman Khosa/ Bahadur Khosa,Sohbat Pur,4.49
GBPS NASRULLAH LEHRI,Sohbat Pur,28.5958916420446,68.4296791820195,Kareem Bakash Khosa,Sohbat Pur,9.05
GBPS NASRULLAH LEHRI,Sohbat Pur,28.5958916420446,68.4296791820195,Aziz-u-Rehman Khosa/ Bahadur Khosa,Sohbat Pur,2.21
GBPS ABDUL SATTAR KHAN,Sohbat Pur,28.5242868465751,68.4779614514597,Aziz-u-Rehman Khosa/ Bahadur Khosa,Sohbat Pur,9.37
GBMIDS AZAM KHAN,Sohbat Pur,28.5466439390464,68.5613151551489,Kareem Bakash Khosa,Sohbat Pur,9.55
GBMIDS AZAM KHAN,Sohbat Pur,28.5466439390464,68.5613151551489,Akbar khayazai,Sohbat Pur,4.51
GGPS ABDUL RASHEED KHOSA,Sohbat Pur,28.57185991,68.55793614,Kareem Bakash Khosa,Sohbat Pur,6.98
GGPS ABDUL RASHEED KHOSA,Sohbat Pur,28.57185991,68.55793614,Akbar khayazai,Sohbat Pur,6.08
GBPS  SIKANDAR JARWAR,Sohbat Pur,28.53062157,68.62337122,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,6.09
GBPS  SIKANDAR JARWAR,Sohbat Pur,28.53062157,68.62337122,Akbar khayazai,Sohbat Pur,1.84
GBPS NOOR MUHAMMAD JARWAR,Sohbat Pur,28.55433327,68.60855488,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,8.53
GBPS NOOR MUHAMMAD JARWAR,Sohbat Pur,28.55433327,68.60855488,Akbar khayazai,Sohbat Pur,1.91
GBPS MANZOOR HUSSAIN KHOSA,Sohbat Pur,28.56097931,68.48328287,Kareem Bakash Khosa,Sohbat Pur,7.65
GBPS MANZOOR HUSSAIN KHOSA,Sohbat Pur,28.56097931,68.48328287,Aziz-u-Rehman Khosa/ Bahadur Khosa,Sohbat Pur,7.55
GBPS ABDUL MAJEED GOLA,Sohbat Pur,28.4565427720844,68.5886683918031,Akbar khayazai,Sohbat Pur,9.1
GBPS MEHAR ALI PAT IRSHAD ALI GOLA,Sohbat Pur,28.5415778924294,68.5241567881075,Kareem Bakash Khosa,Sohbat Pur,9.09
GBPS MEHAR ALI PAT IRSHAD ALI GOLA,Sohbat Pur,28.5415778924294,68.5241567881075,Akbar khayazai,Sohbat Pur,8.04
GBPS MUHALLAH ABDUL REHMAN,Sohbat Pur,28.5212340471269,68.5398246541252,Akbar khayazai,Sohbat Pur,6.73
GBPS HOT KHAN,Sohbat Pur,28.5768561166101,68.604235770478,Kareem Bakash Khosa,Sohbat Pur,9.98
GBPS HOT KHAN,Sohbat Pur,28.5768561166101,68.604235770478,Akbar khayazai,Sohbat Pur,4.4
GBPS MURAD ALI,Sohbat Pur,28.5550776267339,68.4254240506563,Aziz-u-Rehman Khosa/ Bahadur Khosa,Sohbat Pur,3.57
GBPS MUHAMMAD HAYAT,Sohbat Pur,28.54126701,68.42532655,Aziz-u-Rehman Khosa/ Bahadur Khosa,Sohbat Pur,5.01
GBPS ABDUL FATEH KHOSA,Sohbat Pur,28.5156204750295,68.4223247035129,Aziz-u-Rehman Khosa/ Bahadur Khosa,Sohbat Pur,7.74
GBPS TAGYA KHAN,Sohbat Pur,28.5123491034677,68.4259101486325,Aziz-u-Rehman Khosa/ Bahadur Khosa,Sohbat Pur,8.15
GBMIDS ATTAL KHAN KANRANI,Sohbat Pur,28.4488615877805,68.8787440870467,Darya khan gajani/Arbab Pandrani,Sohbat Pur,4.28
GBMIDS ALI MUHAMMAD KANRANI,Sohbat Pur,28.4465027308809,68.8759538436303,Darya khan gajani/Arbab Pandrani,Sohbat Pur,4.09
GBPS ALI MURAD NUNDWANI,Sohbat Pur,28.4477747806008,68.8676824569053,Darya khan gajani/Arbab Pandrani,Sohbat Pur,3.28
GBMIDS SHAH MUHAMMAD NANDWANI,Sohbat Pur,28.4364234184227,68.8633305513414,Darya khan gajani/Arbab Pandrani,Sohbat Pur,3.61
GBPS MEHRAB NANDWANI,Sohbat Pur,28.434683119121,68.8604005075262,Darya khan gajani/Arbab Pandrani,Sohbat Pur,3.55
GBPS BOOJA KHAN BHARANI,Sohbat Pur,28.4410705987238,68.849073735222,Darya khan gajani/Arbab Pandrani,Sohbat Pur,2.31
GBPS BOOJA KHAN BHARANI,Sohbat Pur,28.4410705987238,68.849073735222,Goth Gul Sher Kandrani,Sohbat Pur,9.87
GBHS DIN MUHAMMAD KANRANI,Sohbat Pur,28.4358154591092,68.8566913853832,Darya khan gajani/Arbab Pandrani,Sohbat Pur,3.22
GBHS GHULAM MUHAMMAD KANRANI,Sohbat Pur,28.493955244219,68.7460753955533,Raheem Bakhsh Kandrani,Sohbat Pur,6.99
GBHS GHULAM MUHAMMAD KANRANI,Sohbat Pur,28.493955244219,68.7460753955533,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,6.59
GBHS GHULAM MUHAMMAD KANRANI,Sohbat Pur,28.493955244219,68.7460753955533,Darya khan gajani/Arbab Pandrani,Sohbat Pur,9.68
GBHS GHULAM MUHAMMAD KANRANI,Sohbat Pur,28.493955244219,68.7460753955533,Goth Gul Sher Kandrani,Sohbat Pur,1.8
GBPS TAGYA KHAN KANRANI,Sohbat Pur,28.4983893649437,68.7483928389667,Raheem Bakhsh Kandrani,Sohbat Pur,7.52
GBPS TAGYA KHAN KANRANI,Sohbat Pur,28.4983893649437,68.7483928389667,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,6.66
GBPS TAGYA KHAN KANRANI,Sohbat Pur,28.4983893649437,68.7483928389667,Darya khan gajani/Arbab Pandrani,Sohbat Pur,9.69
GBPS TAGYA KHAN KANRANI,Sohbat Pur,28.4983893649437,68.7483928389667,Goth Gul Sher Kandrani,Sohbat Pur,1.95
GBHS RIND ALI,Sohbat Pur,28.4365566474145,68.8680662679413,Darya khan gajani/Arbab Pandrani,Sohbat Pur,3.95
GBHSS JUMAL KHAN BUGTI,Sohbat Pur,28.4570471308405,68.7918728333261,Raheem Bakhsh Kandrani,Sohbat Pur,7.0
GBHSS JUMAL KHAN BUGTI,Sohbat Pur,28.4570471308405,68.7918728333261,Darya khan gajani/Arbab Pandrani,Sohbat Pur,4.38
GBHSS JUMAL KHAN BUGTI,Sohbat Pur,28.4570471308405,68.7918728333261,Goth Gul Sher Kandrani,Sohbat Pur,4.3
GGHS PANHWAR,Sohbat Pur,28.430009042078,68.7782418596327,Raheem Bakhsh Kandrani,Sohbat Pur,5.18
GGHS PANHWAR,Sohbat Pur,28.430009042078,68.7782418596327,Darya khan gajani/Arbab Pandrani,Sohbat Pur,6.54
GGHS PANHWAR,Sohbat Pur,28.430009042078,68.7782418596327,Goth Gul Sher Kandrani,Sohbat Pur,6.32
GBHS PANHWAR,Sohbat Pur,28.4266598946384,68.7789429278774,Raheem Bakhsh Kandrani,Sohbat Pur,5.29
GBHS PANHWAR,Sohbat Pur,28.4266598946384,68.7789429278774,Darya khan gajani/Arbab Pandrani,Sohbat Pur,6.67
GBHS PANHWAR,Sohbat Pur,28.4266598946384,68.7789429278774,Goth Gul Sher Kandrani,Sohbat Pur,6.7
