Target_BEMIS_Code,SchoolName,District,CurrentLevel,RecommendedProgression,Gender,Priority,Target_School_Latitude,Target_School_Longitude,Total_Progression_Schools_Found,Analysis_Message,Nearest_Progression_School,Nearest_Progression_BEMIS_Code,Distance_to_Nearest_KM,Progression_School_District
16364,GBPS MADRASSA DARUL TOHEED MAGSI SHAKH TAMBOO,NASEER ABAD,Primary,Middle,Boys,Standard,67.8985608203248,28.4000496740925,2,Found 2 gender-matching Middle schools within 5.0km,GBMIDS MOLVI LEHRI,7515,2.66,NASEER ABAD
16424,GBPS KILLI SHADI KHAN SIRKI TALARI,CHAMAN,Primary,Middle,Boys,Standard,66.4664926901674,30.9363446165892,6,Found 6 gender-matching Middle schools within 5.0km,GBMIDS KILLI ABDUL REHMAN,1728,0.23,CHAMAN
16425,GBPS HAJI FATEH MUHAMMAD GULDAR BAGHECHA,CHAMAN,Primary,Middle,Boys,Standard,66.4232177269495,30.9390645720358,8,Found 8 gender-matching Middle schools within 5.0km,GBMIDS KILLI ROZI KHAN,10521,0.91,CHAMAN
16848,GBPS GOTH DOST MOHAMMAD PANDRANI,NASEER ABAD,Primary,Middle,Boys,Standard,68.1949459389039,28.6317831068649,2,Found 2 gender-matching Middle schools within 5.0km,GBMIDS NOTAL,7592,3.82,NASEER ABAD
16981,GGPS SABAWOON POWER HOUSE ROAD CHAMAN,CHAMAN,Primary,Middle,Girls,Standard,66.4497789494588,30.923080297364,4,Found 4 gender-matching Middle schools within 5.0km,GGMIDS KILLI ATA JAN MUHALLAH STADIUM,12653,0.79,CHAMAN
17086,GBPS ABDUL RASOOL BUGTI,NASEER ABAD,Primary,Middle,Boys,Standard,68.2112851,28.5436375,5,Found 5 gender-matching Middle schools within 5.0km,GBMIDS NOTAL,7592,0.25,NASEER ABAD
17375,GGMIDS RAKHNI CITY NEAR WAPDA GRADE STATION,BARKHAN,Middle,High,Girls,Standard,69.9242951535796,30.0511111143442,1,Found 1 gender-matching High schools within 5.0km,GGHS GADAI RAKHNI,7145,1.18,BARKHAN
17509,GPS DIN MUHAMMAD MASTOI,JAFER ABAD,Primary,Middle,Co-Education,Standard,68.0836654666666,28.2739635666666,7,Found 7 gender-matching Middle schools within 5.0km,GGMIDS NOOR MUHAMMAD NAWARH,11719,1.31,JAFER ABAD
17731,GPS GOTH RAHO BAZINJO,LASBELA,Primary,Middle,Co-Education,Standard,66.9105275076526,25.1291754787921,5,Found 5 gender-matching Middle schools within 5.0km,GGMIDS HAJI IBRAHIM SHEIKH,11576,3.93,LASBELA
18042,GPS  KHARSHING,ZIARAT,Primary,Middle,Girls,Standard,68.4812655858219,30.2430674805866,1,Found 1 gender-matching Middle schools within 5.0km,GGMIDS BAGAWO,4032,1.55,ZIARAT
18139,GBPS RANGPUR BULAIDI TEHISL TAMBOO,NASEER ABAD,Primary,Middle,Boys,Standard,68.0904743533905,28.3756143111789,7,Found 7 gender-matching Middle schools within 5.0km,GBMIDS WADERA SHAKAR KHAN,7466,1.72,NASEER ABAD
50173,GGMIDS KIAZAI FEROZABAD,KHUZDAR,Middle,High,Girls,Standard,66.5421395105974,27.7750913291911,0,No gender-matching High schools within 5.0km,,,,
50332,GGMIDS CHAD SHER ALI,SURAB,Middle,High,Girls,Standard,66.1193519587993,28.3236847221507,1,Found 1 gender-matching High schools within 5.0km,GGHS HATHYARI GIDDAR,3241,2.24,SURAB
