SchoolName,District,CurrentLevel,RecommendedProgression,Gender,Priority,Target_School_Latitude,Target_School_Longitude,Total_Progression_Schools_Found,Analysis_Message,Nearest_Progression_School,Distance_to_Nearest_KM,Progression_School_District
GBPS SOBDAR KHOSA,NASEER ABAD,Primary,Middle,Boys,Standard,68.1475778681096,28.4930233176162,10,Found 10 Middle schools within 6.0km,GBMIDS GOTH MUHAMMAD SALEH SASOLI,2.15,NASEER ABAD
GBPS HAJI MANDO,NASEER ABAD,Primary,Middle,Boys,Standard,67.9979474976879,28.4368668780606,8,Found 8 Middle schools within 6.0km,GGMIDS MIR MUHAMMAD MENGAL,0.13,NASEER ABAD
GBMIDS ALHINDA KHAN USMANI,NASEER ABAD,Middle,High,Boys,Standard,68.3919653750923,28.5342186410102,8,Found 8 High schools within 6.0km,GGHS JIA KHAN KHOSA,1.35,SOHBAT PUR
GBPS MIR SHEHZADA KHAN UMRANI,NASEER ABAD,Primary,Middle,Boys,Standard,68.3353841843907,28.5167096389656,6,Found 6 Middle schools within 6.0km,GBMIDS ABDUL RAZAQUE UMARANI.,2.74,NASEER ABAD
GBPS SHARBAT KHAN JATTAK,NASEER ABAD,Primary,Middle,Boys,Standard,67.9841921237804,28.2581643756347,9,Found 9 Middle schools within 6.0km,GBMIDS FAIZ ABAD JAMALI,2.38,JAFER ABAD
GBPS JUMA KHAN UMRANI,NASEER ABAD,Primary,Middle,Boys,Standard,67.9895463801026,28.2978512910556,8,Found 8 Middle schools within 6.0km,GBMIDS QABOLA KARAM KHAN,2.67,NASEER ABAD
GBMIDS REHMATULLAH LEHRI,NASEER ABAD,Middle,High,Boys,Standard,68.2305110666901,28.4664019349813,8,Found 8 High schools within 6.0km,GBHS ABDUL MAJEED LEHRI,2.62,NASEER ABAD
GBPS MUHAMMAD KHAN CHOTI,BARKHAN,Primary,Middle,Boys,Standard,69.6073803083024,29.9730642052667,5,Found 5 Middle schools within 6.0km,GGMIDS FARID ABAD HAKEEMANI,1.15,BARKHAN
GBPS MIR MUHAMMAD KARAMDANI,BARKHAN,Primary,Middle,Boys,Standard,69.7302416666666,30.0824983333333,5,Found 5 Middle schools within 6.0km,GGMIDS BASTI HABBATAIN NODO ZIKRANI,2.89,BARKHAN
GBPS MASOO,KACHHI,Primary,Middle,Boys,Standard,67.7789776069077,29.1810598190219,7,Found 7 Middle schools within 6.0km,GBMIDS BASHKIA,1.5,KACHHI
GBHS  ZARDALO,HARNAI,High,Higher Secondary,Boys,Standard,67.5231060682579,30.2962770153465,0,Found 0 Higher Secondary schools within 6.0km,,,
GBMIDS TANG WANI,DERA BUGTI,Middle,High,Boys,Standard,69.5174698775113,29.5299869589346,3,Found 3 High schools within 6.0km,GBHS SHUM AMIRIAN KHALIRA,4.2,DERA BUGTI
GBMIDS KILLI ALAM KHAN,DERA BUGTI,Middle,High,Boys,Standard,69.5993146448514,29.4548142309922,10,Found 10 High schools within 6.0km,GBHS KILLI HAJI MIAN KHAN PELAWAGH,0.87,DERA BUGTI
GBMIDS SHAMS UL HUDA JIWA,SURAB,Middle,High,Boys,Standard,66.2846901043836,28.1112270310401,0,Found 0 High schools within 6.0km,,,
GGMIDS RAILWAY STATION AKHTAR ABAD,HARNAI,Middle,High,Girls,Standard,67.9379372966725,30.1016999119674,9,Found 9 High schools within 6.0km,GGHS GHARIB ABAD(HARNAI),0.01,HARNAI
GGMIDS SAEED MUHAMMAD KANRANI,SOHBAT PUR,Middle,High,Girls,Standard,68.71146371,28.49140441,7,Found 7 High schools within 6.0km,GBHS GHULAM MUHAMMAD KANRANI,3.86,SOHBAT PUR
GGMIDS SHIPANKO BAZAR,GWADAR,Middle,High,Girls,Standard,63.471528636797,25.2701958973235,8,Found 8 High schools within 6.0km,GBHS BABAR SHOR,0.02,GWADAR
GBMIDS MARRI ABAD,SIBI,Middle,High,Boys,Standard,67.886555,29.5768766666666,18,Found 18 High schools within 6.0km,GGHS SATH MARLA GOLA KHOSA,0.78,SIBI
GGPS MEHAR ALI,SOHBAT PUR,Primary,Middle,Girls,Standard,68.5077755690685,28.5137552759079,8,Found 8 Middle schools within 6.0km,GGMIDS AZAM MANJHANI KHOSA,0.41,SOHBAT PUR
GGMIDS BALOCH BAGH,LASBELA,Middle,High,Girls,Standard,66.70349,25.4234416666666,3,Found 3 High schools within 6.0km,GBHS GOTH HAJI CHAKAR WINDER,0.08,LASBELA
GBHS JAM YOUSAF COLONY,LASBELA,High,Higher Secondary,Boys,Standard,66.8797817948539,25.0436669845892,1,Found 1 Higher Secondary schools within 6.0km,GGHSS HUB,0.88,LASBELA
GBMIDS DAZEN TUMP,KECH,Middle,High,Girls,Standard,63.0198416666666,25.998465,14,Found 14 High schools within 6.0km,GBHS SHAHI TUMP,0.11,KECH
GGPS ABDUL RASOOL BUGHTI,NASEER ABAD,Primary,Middle,Girls,Standard,68.2117816666666,28.5440566666666,16,Found 16 Middle schools within 6.0km,GGMIDS NOTAL,0.21,NASEER ABAD
GGMIDS NOOR MUHAMMAD MENGAL,NASEER ABAD,Middle,High,Girls,Standard,68.1366833333333,28.4227016666666,9,Found 9 High schools within 6.0km,GBHS MIR GUL JATAK,1.4,NASEER ABAD
GGMIDS NAWA KILLI,KILLA SAIFULLAH,Middle,High,Girls,Standard,67.7296610495682,30.8237692858627,10,Found 10 High schools within 6.0km,GGHS REHRI KILLI,0.68,KILLA SAIFULLAH
GBMIDS MURAD ABAD KHUZDAR,KHUZDAR,Middle,High,Boys,Standard,66.61879948,27.82965018,9,Found 9 High schools within 6.0km,GGHS KHATAN,0.83,KHUZDAR
GGMIDS BASTI LOHARAN,SIBI,Middle,High,Girls,Standard,68.2162497014742,29.1907166603903,5,Found 5 High schools within 6.0km,GBHS BASTI LOHARAN,0.01,SIBI
GGMIDS SIDDIQUE ABAD,QUETTA,Middle,High,Girls,Standard,66.9672333701982,30.2170167573367,78,Found 78 High schools within 6.0km,GBHS KHAROT ABAD NO.1,0.56,QUETTA
GGPS LIAQAT ABAD,AWARAN,Primary,Middle,Co-Education,Standard,65.5959866666666,27.10749,3,Found 3 Middle schools within 6.0km,GGMIDS KHANDARI,0.87,AWARAN
GBPS MURADHAN ALYANI,KOHLU,Primary,Middle,Boys,Standard,69.2670916666666,29.9047949999999,8,Found 8 Middle schools within 6.0km,GGMIDS MURADHAN ALYANI,0.04,KOHLU
GGMIDS KHALIQ ABAD,SURAB,Middle,High,Girls,Standard,66.2604994025708,28.4854415849751,6,Found 6 High schools within 6.0km,GBHS SURAB,0.32,SURAB
GGMIDS DHAL BAIDEE,AWARAN,Middle,High,Girls,Standard,65.28906907,26.51162863,4,Found 4 High schools within 6.0km,GBHS PIR ANDER,1.19,AWARAN
GGHS GISHKOOR,AWARAN,High,Higher Secondary,Girls,Standard,64.73621188,26.25099417,1,Found 1 Higher Secondary schools within 6.0km,GBHSS GISHKOR,0.32,AWARAN
GGPS  LIBNAN MAND,KECH,Primary,Middle,Girls,Standard,62.017706762016,26.1174488026606,5,Found 5 Middle schools within 6.0km,GGMIDS BALOCH ABAD MAND,1.68,KECH
GGMIDS MITHA KHAN MANJHO,NASEER ABAD,Middle,High,Girls,Standard,68.0334516666666,28.4582966666666,5,Found 5 High schools within 6.0km,GBHS SHORI DATA,1.49,NASEER ABAD
GGMIDS JAFFAR ABAD,KHUZDAR,Middle,High,Girls,Standard,66.6137349999999,27.8276033333333,9,Found 9 High schools within 6.0km,GGHS SALEH ABAD,0.49,KHUZDAR
GGPS BASTI DEH BABANI,BARKHAN,Primary,Middle,Girls,Standard,69.9181646499363,30.1085534115049,5,Found 5 Middle schools within 6.0km,GGMIDS BASTI HAJI ALLAH BAKHSH RAKHNI,2.03,BARKHAN
GBMIDS M. DIN SAHIB DAD,KOHLU,Middle,High,Boys,Standard,69.207205,29.9098683333333,7,Found 7 High schools within 6.0km,GBHS MUHAMMAD KAMAL QALANDRANI,3.55,KOHLU
GBPS MIR HAJI REHIMKANI,KOHLU,Primary,Middle,Boys,Standard,69.1554466666666,29.8384183333333,4,Found 4 Middle schools within 6.0km,GBMIDS KILLI YAAQOOB KHAN MAHBATANI BHORI,0.81,KOHLU
GGMIDS  KOHEE KHAN NOTEZAI,CHAGHI,Middle,High,Girls,Standard,64.4092289124,28.894471434209,13,Found 13 High schools within 6.0km,GBHS KILLI DAUD ABAD,0.2,CHAGHI
GGPS  SHAH MUHAMMAD,NOSHKI,Primary,Middle,Girls,Standard,66.10663673,29.57133487,5,Found 5 Middle schools within 6.0km,GBMIDS HAJI KHUDA-E-DAD,2.39,NOSHKI
GGMIDS SHER MUHAMMAD NICHARI,NASEER ABAD,Middle,High,Girls,Standard,68.21009,28.5481916666666,9,Found 9 High schools within 6.0km,GBHS SPECIAL DERA MURAD JAMALI,0.8,NASEER ABAD
GBPS MADRASSA MUFTA-UL-ALOOM,ZHOB,Primary,Middle,Boys,Standard,69.4768699999999,31.346805,14,Found 14 Middle schools within 6.0km,GBMIDS DAWAL GADH,1.44,SHERANI
GGMIDS SHABOZAI,ZHOB,Middle,High,Girls,Standard,69.4348269841462,31.2805068313827,12,Found 12 High schools within 6.0km,GGHS APPOZAI ZHOB,2.17,ZHOB
GGMIDS MUHAMMAD KHAIL PANJPAI,QUETTA,Middle,High,Girls,Standard,66.5741927052898,30.0067679005472,1,Found 1 High schools within 6.0km,GBHS MUHAMMAD KHAIL,0.09,QUETTA
GGMIDS MUHALLAH ARAIN,JHAL MAGSI,Middle,High,Girls,Standard,67.4856916666666,28.6157633333333,5,Found 5 High schools within 6.0km,GGHS GANDAWAH,0.19,JHAL MAGSI
GGPS NIMKI ALLA-ABAD,DUKI,Primary,Middle,Girls,Standard,68.8982300861654,30.0600547566732,2,Found 2 Middle schools within 6.0km,GBMIDS NUMKI ALLAHABAD,0.16,DUKI
GGPS NEW BAWAR,LORALAI,Primary,Middle,Girls,Standard,68.5503557344495,30.400010182759,11,Found 11 Middle schools within 6.0km,GBMIDS KILLI MUSA KHAN NASAR BAWAR,1.47,LORALAI
