S.no,BemisCode,District,Tehsil,UC,SchoolName,gps_Point,_xCord,_yCord
181,45146,Jhal Magsi,Gandawah,Gandawah,Adam Khan Magsi,28.1609295 67.6069955,28.1609295,67.6069955
182,45147,Jhal Magsi,Jhal Magsi,Jhal Magsi,Dhani Bux Mengal,28.5827533 67.5707409,28.5827533,67.5707409
183,45148,Jhal Magsi,Gandawa,Fathe Pur,Juma Khan Lahshari,28.5479305 67.3794329,28.5479305,67.3794329
184,45149,Jhal Magsi,Jhal Magsi,Barija,Mubarak Reheja,28.3009167 67.5800997,28.3009167,67.5800997
185,45150,Jhal Magsi,Gandawah,Barija,Ghoght Bakhar,28.2416796 67.3698279,28.2416796,67.3698279
186,45151,Jhal Magsi,Gandawah,Gandawah,Dhani Bux Magsi,28.2396144 67.4700894,28.2396144,67.4700894
187,45152,Jhal Magsi,Jhal Magsi,Jhal Magsi,Hasil Khan,28.063856 67.6191894,28.063856,67.6191894
188,45153,Jhal Magsi,Gandawah,khari,Mohd Pahna Dotiya,28.0786707 67.6317083,28.0786707,67.6317083
189,45154,Jhal Magsi,Jhal Magsi,Jhal Magsi,Abdul Karim Mughemani,28.0785352 67.6316247,28.0785352,67.6316247
190,45155,Jhal Magsi,Jhal Magsi,Panjuck,Hazar Khan,28.2993373 67.4537734,28.2993373,67.4537734
191,45156,Jhal Magsi,Jhal Magsi,Kot Magsi,Saidali,28.4956866 67.4537123,28.4956866,67.4537123
192,45157,Jhal Magsi,Jhal Magsi,Barija,Tambela,28.5253647 67.4508056,28.5253647,67.4508056
193,45158,Jhal Magsi,Jhal Magsi,Jhal Magsi,Khair Mohammad Kochha,28.2615595 67.4946096,28.2615595,67.4946096
194,45159,Kalat,Kalat,Chapar,Killi Allah Bux,29.1724711 66.4975469,29.1724711,66.4975469
195,45160,Kalat,kallat,Nimarg,Killi Omalo,29.175389 66.1899386,29.175389,66.1899386
196,45162,Kalat,Kalat,Chapar,Killi Kher Abad,29.1538949 66.5308292,29.1538949,66.5308292
197,45167,Kech ,Blueda,Alandoor,Gradank Hassan bazar,26.2549355 62.9269467,26.2549355,62.9269467
198,45168,Kech ,Blueda,Alandoor,Ali Gohram Bazar ,26.266249 62.8593811,26.266249,62.8593811
199,45169,Kech ,Blueda,Alandoor,Dambuk,26.2462056 63.0242536,26.2462056,63.0242536
200,45170,Kech ,Blueda,Bit,Shantalo,26.2583583 63.3181098,26.2583583,63.3181098
201,45171,Kech ,Blueda,Mehnaz,Raiko Master Mohd Hassan Bazar,26.2675198 63.090723,26.2675198,63.090723
202,45172,Kech ,Dasht,Kuddan,Karkak M Essa Bazar,25.7726599 62.423069,25.7726599,62.423069
203,45173,Kech ,Dasht,Zarin Big,Ghafoor Bazar Bagdir,25.7298882 62.0996307,25.7298882,62.0996307
